tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,name_localizedValue0,usertype,birth year,gender
413,2018-03-01 00:03:08,2018-03-01 00:10:01,492,W 33 St & 7 Ave,40.75019995,-73.99093085,167,E 39 St & 3 Ave,40.7489006,-73.97604882,18965,Annual Membership from Citi Bike App,Subscriber,1994,1
564,2018-03-01 00:03:21,2018-03-01 00:12:46,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,3613,Center Blvd & 48 Ave,40.745038,-73.957539,21584,Annual Membership,Subscriber,1981,1
278,2018-03-01 00:03:24,2018-03-01 00:08:02,379,W 31 St & 7 Ave,40.749156,-73.9916,476,E 31 St & 3 Ave,40.74394314,-73.97966069,32481,Annual Membership,Subscriber,1993,1
588,2018-03-01 00:03:27,2018-03-01 00:13:16,3611,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,3564,21 St & 36 Ave,40.7601853,-73.9362726,19487,Annual Membership,Subscriber,1983,2
1001,2018-03-01 00:03:39,2018-03-01 00:20:21,394,E 9 St & Avenue C,40.72521311,-73.97768752,334,W 20 St & 7 Ave,40.74238787,-73.99726235,16496,Annual Membership,Subscriber,1964,1
61,2018-03-01 00:03:41,2018-03-01 00:04:43,515,W 43 St & 10 Ave,40.76009437,-73.99461843,3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,19164,Annual Membership,Subscriber,1985,1
1789,2018-03-01 00:03:44,2018-03-01 00:33:34,3263,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097,3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,16478,$25 Off Annual Membership,Subscriber,1990,1
767,2018-03-01 00:04:00,2018-03-01 00:16:48,280,E 10 St & 5 Ave,40.73331967,-73.99510132,477,W 41 St & 8 Ave,40.75640548,-73.9900262,33145,Annual Membership,Subscriber,1986,1
234,2018-03-01 00:03:59,2018-03-01 00:07:54,3463,E 16 St & Irving Pl,40.735367055605394,-73.98797392845154,280,E 10 St & 5 Ave,40.73331967,-73.99510132,33035,Annual Membership,Subscriber,1990,1
131,2018-03-01 00:04:04,2018-03-01 00:06:16,490,8 Ave & W 33 St,40.751551,-73.993934,523,W 38 St & 8 Ave,40.75466591,-73.99138152,32743,Annual Membership,Subscriber,1981,1
1150,2018-03-01 00:04:16,2018-03-01 00:23:26,477,W 41 St & 8 Ave,40.75640548,-73.9900262,3435,Grand St & Elizabeth St,40.718822,-73.99596,25272,Annual Membership,Subscriber,1981,2
735,2018-03-01 00:04:18,2018-03-01 00:16:34,497,E 17 St & Broadway,40.73704984,-73.99009296,3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,18669,Join Citi Bike for $14.95/month,Subscriber,1995,1
716,2018-03-01 00:04:23,2018-03-01 00:16:20,3295,Central Park W & W 96 St,40.79127,-73.964839,3338,2 Ave & E 99 St,40.7862586,-73.94552579,16934,NYCHA Membership (Renewal),Subscriber,1972,1
445,2018-03-01 00:04:46,2018-03-01 00:12:11,3263,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097,445,E 10 St & Avenue A,40.72740794,-73.98142006,27980,Annual Membership,Subscriber,1985,1
259,2018-03-01 00:04:48,2018-03-01 00:09:07,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,128,MacDougal St & Prince St,40.72710258,-74.00297088,27288,Annual Membership,Subscriber,1983,1
542,2018-03-01 00:05:06,2018-03-01 00:14:09,494,W 26 St & 8 Ave,40.74734825,-73.99723551,498,Broadway & W 32 St,40.74854862,-73.98808416,31636,Annual Membership - Save 15%,Subscriber,1990,2
1189,2018-03-01 00:05:12,2018-03-01 00:25:02,347,Greenwich St & W Houston St,40.728846,-74.008591,3173,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,30325,Annual Membership,Subscriber,1993,1
1422,2018-03-01 00:05:13,2018-03-01 00:28:55,152,Warren St & Church St,40.71473993,-74.00910627,393,E 5 St & Avenue C,40.72299208,-73.97995466,17155,Join Citi Bike for $14.95/month,Subscriber,1984,1
918,2018-03-01 00:05:14,2018-03-01 00:20:33,3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,251,Mott St & Prince St,40.72317958,-73.99480012,15428,CDCU,Subscriber,1951,1
964,2018-03-01 00:05:17,2018-03-01 00:21:21,379,W 31 St & 7 Ave,40.749156,-73.9916,174,E 25 St & 1 Ave,40.7381765,-73.97738662,30644,Annual Membership,Subscriber,1985,2
812,2018-03-01 00:05:31,2018-03-01 00:19:03,361,Allen St & Hester St,40.71605866,-73.99190759,302,Avenue D & E 3 St,40.72082834,-73.97793172,31012,Join Citi Bike for $14.95/month,Subscriber,1977,1
295,2018-03-01 00:05:33,2018-03-01 00:10:29,3127,9 St & 44 Rd,40.74966,-73.9521,3554,Vernon Blvd & 41 Rd,40.7552433,-73.9485678,21709,NYCBS Employee,Subscriber,1969,1
2894,2018-03-01 00:05:48,2018-03-01 00:54:03,3425,2 Ave & E 104 St,40.7892105,-73.94370784,312,Allen St & Stanton St,40.722055,-73.989111,30520,NYCHA Membership,Subscriber,1983,1
366,2018-03-01 00:05:50,2018-03-01 00:11:56,229,Great Jones St,40.72743423,-73.99379025,302,Avenue D & E 3 St,40.72082834,-73.97793172,33019,Annual Membership,Subscriber,1978,1
727,2018-03-01 00:05:52,2018-03-01 00:17:59,345,W 13 St & 6 Ave,40.73649403,-73.99704374,401,Allen St & Rivington St,40.72019576,-73.98997825,14804,Annual Membership,Subscriber,1989,2
782,2018-03-01 00:05:50,2018-03-01 00:18:53,3159,W 67 St & Broadway,40.77492513,-73.98266566,3350,W 100 St & Broadway,40.7973721,-73.97041192,18685,Annual Membership,Subscriber,1980,2
692,2018-03-01 00:05:54,2018-03-01 00:17:27,3159,W 67 St & Broadway,40.77492513,-73.98266566,3314,W 95 St & Broadway,40.7937704,-73.971888,14782,Annual Membership,Subscriber,1982,2
884,2018-03-01 00:05:59,2018-03-01 00:20:44,417,Barclay St & Church St,40.71291224,-74.01020234,265,Stanton St & Chrystie St,40.72229346,-73.99147535,30526,Annual Membership,Subscriber,1968,2
1996,2018-03-01 00:06:04,2018-03-01 00:39:21,453,W 22 St & 8 Ave,40.74475148,-73.99915362,3541,Amsterdam Ave & W 125 St,40.813358,-73.956461,32128,Annual Membership,Subscriber,1994,2
829,2018-03-01 00:06:10,2018-03-01 00:19:59,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,307,Canal St & Rutgers St,40.71427487,-73.98990025,32482,Join Citi Bike for $14.95/month,Subscriber,1989,1
703,2018-03-01 00:06:15,2018-03-01 00:17:59,3357,W 106 St & Amsterdam Ave,40.8008363,-73.9664492472,3167,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,30622,Annual Membership,Subscriber,1986,1
351,2018-03-01 00:06:23,2018-03-01 00:12:14,3659,W 17 St & 9 Ave,40.74294891660091,-74.00413691997528,3658,W 18 St & 9 Ave,40.7435337324616,-74.00367558002472,25252,NYCHA Membership,Subscriber,1987,0
67,2018-03-01 00:06:47,2018-03-01 00:07:55,515,W 43 St & 10 Ave,40.76009437,-73.99461843,3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,16260,Annual Membership,Subscriber,1985,1
1018,2018-03-01 00:07:05,2018-03-01 00:24:03,3223,E 55 St & 3 Ave,40.758996559605116,-73.96865397691727,472,E 32 St & Park Ave,40.7457121,-73.98194829,32299,Annual Membership,Subscriber,1980,1
